
start_station_name,start_station_id,Trips
San Francisco Caltrain (Townsend at 4th),70,39310
San Francisco Caltrain 2 (330 Townsend),69,30843
Harry Bridges Plaza (Ferry Building),50,20747
Temporary Transbay Terminal (Howard at Beale),55,19264
Steuart at Market,74,15166
2nd at Townsend,61,11118
