
hour,avg_bk_avail,std_bk_avail
18,14.083920945902449,5.227925874421554
9,6.103351388679085,5.215322344865466
10,6.443437155993022,4.552426450465987
15,6.81773187002366,4.332774649538406
16,7.375506778566825,4.651390986417005
12,7.092447911055575,4.347212349540147
13,7.363004985387653,4.303904415799054
11,6.684084823356656,4.410115133973475
7,13.771962738020608,4.997637208032805
19,14.200883115769594,4.865125559846584
17,11.260594995166985,5.735667050454601
8,9.813412314078187,5.936659510657956
20,14.186518924943211,4.64164971894506
14,7.532186182569015,4.369239929738588
6,15.026944306153796,4.397106637195744
21,14.720615239402782,4.366559160156732
