
hour,avg_bk_avail,std_bk_avail
16,7.97728553798788,3.690769827150031
8,7.865995394698877,4.032187090707805
17,7.7544927939893205,4.113886829833437
13,8.20483771224945,3.6521159177237448
19,8.123935790518281,4.426490320350961
15,8.140798239659102,3.6770105831752873
12,8.12953651259175,3.6488904657817027
7,8.038618314984765,4.296578505338131
11,8.113635552125583,3.745076330162709
10,8.07580290293535,3.907489814017579
14,8.219838718030335,3.7099583434132057
6,8.297451877180075,4.375347668131885
9,7.926552036686288,4.005694952091444
18,7.8724241359422615,4.511933278935892
21,8.351331387182913,4.297342254489518
20,8.25670734038869,4.307536456493193
